ticker,exchange,name,provider
VCE,TSX,Vanguard FTSE Canada Index ETF,Vanguard Investments Canada Inc.
VCN,TSX,Vanguard FTSE Canada All Cap Index ETF,Vanguard Investments Canada Inc.
VDY,TSX,Vanguard FTSE Canadian High Dividend Yield Index ETF,Vanguard Investments Canada Inc.
VRE,TSX,Vanguard FTSE Canadian Capped REIT Index ETF,Vanguard Investments Canada Inc.
VUN,TSX,Vanguard U.S. Total Market Index ETF,Vanguard Investments Canada Inc.
VUS,TSX,Vanguard U.S. Total Market Index ETF (CAD-hedged),Vanguard Investments Canada Inc.
VFV,TSX,Vanguard S&P 500 Index,Vanguard Investments Canada Inc.
VSP,TSX,Vanguard S&P 500 Index (CAD-hedged),Vanguard Investments Canada Inc.
VGG,TSX,Vanguard U.S. Dividend Appreciation Index ETF,Vanguard Investments Canada Inc.
VGH,TSX,Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged),Vanguard Investments Canada Inc.
VXC,TSX,Vanguard FTSE All-World ex Canada Index ETF,Vanguard Investments Canada Inc.
VDU,TSX,Vanguard FTSE Developed ex North America Index ETF,Vanguard Investments Canada Inc.
VEF,TSX,Vanguard FTSE Developed ex North America Index ETF (CAD-hedged),Vanguard Investments Canada Inc.
VE,TSX,Vanguard FTSE Developed Europe Index ETF,Vanguard Investments Canada Inc.
VA,TSX,Vanguard FTSE Asia Pacific Index ETF,Vanguard Investments Canada Inc.
VEE,TSX,Vanguard FTSE Emerging Markets Index ETF,Vanguard Investments Canada Inc.
VAB,TSX,Vanguard Canadian Aggregate Bond Index ETF,Vanguard Investments Canada Inc.
VSB,TSX,Vanguard Canadian Short-Term Bond Index ETF,Vanguard Investments Canada Inc.
VSC,TSX,Vanguard Canadian Short-Term Corporate Bond Index ETF,Vanguard Investments Canada Inc.
VBU,TSX,Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged),Vanguard Investments Canada Inc.
VBG,TSX,Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged),Vanguard Investments Canada Inc.
